                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    129,                 3.0579,                 3.0619,                0.70093,                0.24543,                0.08747,                0.05461,                0.00875,                 2.3251,                 3.5126,                0.54451,              0.0017466,              0.0017466,              0.0017466
                    130,                 2.9038,                 3.1012,                 0.7307,                0.24543,                0.08747,                0.05461,                0.00875,                 2.3251,                 3.5126,                0.54451,              0.0017446,              0.0017446,              0.0017446
                    131,                 2.9464,                 3.1119,                0.68994,                0.26094,                0.10753,                0.05823,                0.00858,                 2.4477,                 3.6021,                0.55199,              0.0017426,              0.0017426,              0.0017426
                    132,                 2.1267,                  2.773,                0.48044,                0.26094,                0.10753,                0.05823,                0.00858,                 2.4477,                 3.6021,                0.55199,              0.0017406,              0.0017406,              0.0017406
                    133,                 2.3678,                 2.8075,                0.51511,                0.12632,                0.05376,                 0.0258,                0.00507,                 2.5272,                 3.6877,                0.55133,              0.0017386,              0.0017386,              0.0017386
                    134,                 2.5944,                  3.037,                0.63849,                0.12632,                0.05376,                 0.0258,                0.00507,                 2.5272,                 3.6877,                0.55133,              0.0017367,              0.0017367,              0.0017367
                    135,                 2.7365,                 3.1296,                0.64199,                0.12632,                0.05376,                 0.0258,                0.00507,                 2.5272,                 3.6877,                0.55133,              0.0017347,              0.0017347,              0.0017347
                    136,                 2.5101,                 2.9872,                0.62989,                0.16113,                0.05376,                0.03192,                0.00349,                 2.6007,                 3.6784,                   0.55,              0.0017327,              0.0017327,              0.0017327
                    137,                 1.7501,                 2.4677,                 0.4661,                0.16113,                0.05376,                0.03192,                0.00349,                 2.6007,                 3.6784,                   0.55,              0.0017307,              0.0017307,              0.0017307
                    138,                 2.3463,                 2.8708,                0.55549,                0.16113,                0.05376,                0.03192,                0.00349,                 2.6007,                 3.6784,                   0.55,              0.0017287,              0.0017287,              0.0017287
                    139,                 2.4306,                 2.9364,                0.53252,                0.10563,                0.05376,                0.02375,                0.00298,                 2.5065,                 3.6158,                0.53631,              0.0017268,              0.0017268,              0.0017268
                    140,                 2.4268,                 2.9219,                0.59994,                0.10563,                0.05376,                0.02375,                0.00298,                 2.5065,                 3.6158,                0.53631,              0.0017248,              0.0017248,              0.0017248
                    141,                 2.1963,                 2.7224,                0.52839,                0.08096,                0.04301,                0.02642,                0.00571,                 2.4479,                 3.5586,                0.53745,              0.0017228,              0.0017228,              0.0017228
                    142,                 2.4788,                 2.7341,                0.62946,                0.08096,                0.04301,                0.02642,                0.00571,                 2.4479,                 3.5586,                0.53745,              0.0017208,              0.0017208,              0.0017208
                    143,                 2.1747,                 2.7793,                0.48738,                0.08096,                0.04301,                0.02642,                0.00571,                 2.4479,                 3.5586,                0.53745,              0.0017188,              0.0017188,              0.0017188
                    144,                 3.0519,                 2.7171,                0.79602,                0.11409,                0.07342,                0.02501,                0.00679,                 2.5139,                 3.5805,                0.55415,              0.0017169,              0.0017169,              0.0017169
                    145,                 2.7256,                 2.7714,                 0.6923,                0.11409,                0.07342,                0.02501,                0.00679,                 2.5139,                 3.5805,                0.55415,              0.0017149,              0.0017149,              0.0017149
                    146,                 2.6761,                 2.7758,                0.68511,                0.16095,                0.09677,                0.04848,                 0.0113,                 2.5133,                 3.3922,                0.56859,              0.0017129,              0.0017129,              0.0017129
                    147,                 2.4189,                 2.6289,                0.58041,                0.16095,                0.09677,                0.04848,                 0.0113,                 2.5133,                 3.3922,                0.56859,              0.0017109,              0.0017109,              0.0017109
                    148,                 2.6854,                 2.7634,                0.60516,                0.16095,                0.09677,                0.04848,                 0.0113,                 2.5133,                 3.3922,                0.56859,              0.0017089,              0.0017089,              0.0017089
                    149,                 3.0724,                 2.7069,                0.71754,                0.12508,                0.08602,                0.03476,                0.00758,                 2.4736,                  3.314,                0.56825,               0.001707,               0.001707,               0.001707
                    150,                 2.5427,                 2.7303,                0.50701,                0.12508,                0.08602,                0.03476,                0.00758,                 2.4736,                  3.314,                0.56825,               0.001705,               0.001705,               0.001705
                    151,                 2.8112,                 2.8578,                0.69194,                0.18712,                0.08602,                0.04118,                0.00957,                 2.3795,                 3.2689,                0.55819,               0.001703,               0.001703,               0.001703
